"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-December-2012 00:00","4.805","76.000","3.752","74.300"
"Prentiss","01-December-2012 01:00","3.867","108.600","3.562","103.900"
"Prentiss","01-December-2012 02:00","8.530","128.100","8.200","120.300"
"Prentiss","01-December-2012 03:00","8.040","112.400","7.400","124.500"
"Prentiss","01-December-2012 04:00","9.980","119.300","9.110","111.800"
"Prentiss","01-December-2012 05:00","7.930","117.600","9.110","118.500"
"Prentiss","01-December-2012 06:00","3.834","113.000","5.559","117.800"
"Prentiss","01-December-2012 07:00","2.749","119.500","3.053","118.200"
"Prentiss","01-December-2012 08:00","8.800","128.400","7.460","117.400"
"Prentiss","01-December-2012 09:00","4.739","116.300","6.350","124.300"
"Prentiss","01-December-2012 10:00","4.713","112.600","4.483","113.900"
"Prentiss","01-December-2012 11:00","6.473","110.300","5.540","110.600"
"Prentiss","01-December-2012 12:00","7.250","120.400","6.836","117.000"
"Prentiss","01-December-2012 13:00","7.960","120.600","7.710","119.000"
"Prentiss","01-December-2012 14:00","18.410","110.000","9.860","112.800"
"Prentiss","01-December-2012 15:00","12.160","99.800","13.290","107.300"
"Prentiss","01-December-2012 16:00","10.190","108.300","11.770","102.600"
"Prentiss","01-December-2012 17:00","10.240","106.100","9.640","102.900"
"Prentiss","01-December-2012 18:00","8.520","","8.490",""
"Prentiss","01-December-2012 19:00","6.792","74.300","7.340","88.400"
"Prentiss","01-December-2012 20:00","7.820","69.060","7.310","68.290"
"Prentiss","01-December-2012 21:00","5.466","116.200","6.389","88.800"
"Prentiss","01-December-2012 22:00","0.356","340.900","1.633","97.300"
"Prentiss","01-December-2012 23:00","2.327","348.700","2.553","47.710"
"Prentiss","02-December-2012 00:00","1.825","198.000","1.972","225.100"
"Prentiss","02-December-2012 01:00","1.742","139.400","2.442","152.000"
"Prentiss","02-December-2012 02:00","3.178","211.900","2.355","170.700"
"Prentiss","02-December-2012 03:00","7.140","100.100","4.723","95.500"
"Prentiss","02-December-2012 04:00","7.880","131.100","9.690","122.000"
"Prentiss","02-December-2012 05:00","10.660","127.800","8.780","124.100"
"Prentiss","02-December-2012 06:00","13.860","123.900","12.970","134.500"
"Prentiss","02-December-2012 07:00","13.580","110.500","12.440","121.800"
"Prentiss","02-December-2012 08:00","10.800","99.500","13.080","114.800"
"Prentiss","02-December-2012 09:00","12.370","111.400","11.570","109.200"
"Prentiss","02-December-2012 10:00","13.090","87.700","11.350","91.600"
"Prentiss","02-December-2012 11:00","11.380","79.300","11.530","81.800"
"Prentiss","02-December-2012 12:00","10.290","98.100","10.100","100.000"
"Prentiss","02-December-2012 13:00","13.080","86.600","12.810","89.600"
"Prentiss","02-December-2012 14:00","12.110","83.500","12.240","89.900"
