"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-October-2015 00:00","12.840","213.200","12.830","213.500"
"Prentiss","01-October-2015 01:00","12.760","205.100","14.170","211.300"
"Prentiss","01-October-2015 02:00","12.340","209.300","9.610","199.900"
"Prentiss","01-October-2015 03:00","16.340","206.300","14.850","206.000"
"Prentiss","01-October-2015 04:00","14.870","192.100","15.310","193.400"
"Prentiss","01-October-2015 05:00","4.187","140.200","8.410","183.600"
"Prentiss","01-October-2015 06:00","6.017","142.500","5.142","138.100"
"Prentiss","01-October-2015 07:00","5.389","134.700","6.878","142.600"
"Prentiss","01-October-2015 08:00","1.149","134.500","4.261","131.100"
"Prentiss","01-October-2015 09:00","5.800","138.000","2.839","123.800"
"Prentiss","01-October-2015 10:00","9.210","131.300","8.150","137.000"
"Prentiss","01-October-2015 11:00","12.500","180.400","10.580","172.900"
"Prentiss","01-October-2015 12:00","14.910","155.900","11.750","158.700"
"Prentiss","01-October-2015 13:00","14.710","153.800","13.860","155.600"
"Prentiss","01-October-2015 14:00","13.900","161.700","15.340","159.200"
"Prentiss","01-October-2015 15:00","14.500","146.300","15.130","156.500"
"Prentiss","01-October-2015 16:00","16.400","156.000","16.070","153.900"
"Prentiss","01-October-2015 17:00","9.430","138.500","11.460","156.300"
"Prentiss","01-October-2015 18:00","13.990","151.300","11.720","145.700"
"Prentiss","01-October-2015 19:00","10.450","147.200","12.700","150.300"
"Prentiss","01-October-2015 20:00","10.800","165.100","11.150","145.400"
"Prentiss","01-October-2015 21:00","8.480","155.700","8.060","162.400"
"Prentiss","01-October-2015 22:00","9.810","156.900","9.870","160.300"
"Prentiss","01-October-2015 23:00","8.640","153.700","9.280","146.400"
"Prentiss","02-October-2015 00:00","9.620","128.200","8.740","132.600"
"Prentiss","02-October-2015 01:00","10.180","154.800","9.930","156.200"
"Prentiss","02-October-2015 02:00","9.180","125.100","9.300","125.800"
"Prentiss","02-October-2015 03:00","6.309","125.400","7.890","125.200"
"Prentiss","02-October-2015 04:00","7.580","184.600","6.147","158.300"
"Prentiss","02-October-2015 05:00","5.491","155.200","7.860","133.700"
"Prentiss","02-October-2015 06:00","4.508","163.400","5.467","161.200"
"Prentiss","02-October-2015 07:00","1.720","160.900","4.130","177.700"
"Prentiss","02-October-2015 08:00","8.930","186.200","5.690","177.800"
"Prentiss","02-October-2015 09:00","15.890","235.000","13.970","223.400"
"Prentiss","02-October-2015 10:00","9.750","254.300","13.350","246.300"
"Prentiss","02-October-2015 11:00","9.650","232.300","9.720","242.300"
"Prentiss","02-October-2015 12:00","10.490","283.400","8.550","257.700"
"Prentiss","02-October-2015 13:00","7.580","327.600","6.135","297.600"
"Prentiss","02-October-2015 14:00","14.430","336.500","10.190","329.900"
"Prentiss","02-October-2015 15:00","18.380","0.318","16.020","354.300"
"Prentiss","02-October-2015 16:00","28.820","1.471","24.390","358.100"
"Prentiss","02-October-2015 17:00","38.590","339.000","37.490","344.300"
"Prentiss","02-October-2015 18:00","41.960","332.400","41.860","334.500"
"Prentiss","02-October-2015 19:00","38.150","336.000","40.130","335.200"
"Prentiss","02-October-2015 20:00","40.650","331.800","40.060","334.500"
"Prentiss","02-October-2015 21:00","38.330","329.800","37.750","329.900"
"Prentiss","02-October-2015 22:00","41.650","328.700","42.320","329.100"
"Prentiss","02-October-2015 23:00","37.100","329.900","38.090","328.500"
"Prentiss","03-October-2015 00:00","34.980","328.400","35.490","330.000"
"Prentiss","03-October-2015 01:00","34.100","330.800","34.250","329.700"
"Prentiss","03-October-2015 02:00","34.290","336.100","33.760","333.600"
"Prentiss","03-October-2015 03:00","30.840","332.900","32.800","334.000"
"Prentiss","03-October-2015 04:00","34.600","333.700","33.670","335.600"
"Prentiss","03-October-2015 05:00","34.150","343.500","32.310","332.600"
"Prentiss","03-October-2015 06:00","20.690","339.400","28.480","342.400"
"Prentiss","03-October-2015 07:00","28.600","341.900","25.110","341.300"
"Prentiss","03-October-2015 08:00","28.140","343.000","28.620","342.900"
"Prentiss","03-October-2015 09:00","29.240","353.800","26.840","348.700"
"Prentiss","03-October-2015 10:00","22.760","346.500","23.960","349.500"
"Prentiss","03-October-2015 11:00","28.350","348.000","25.880","350.300"
"Prentiss","03-October-2015 12:00","24.220","349.100","24.030","353.300"
"Prentiss","03-October-2015 13:00","27.650","341.500","24.030","346.500"
"Prentiss","03-October-2015 14:00","25.110","351.700","25.330","346.200"
"Prentiss","03-October-2015 15:00","18.070","4.303","22.000","355.200"
"Prentiss","03-October-2015 16:00","19.850","353.400","19.320","358.500"
"Prentiss","03-October-2015 17:00","14.690","3.371","16.480","357.800"
"Prentiss","03-October-2015 18:00","18.610","356.400","17.610","356.500"
"Prentiss","03-October-2015 19:00","17.130","347.500","17.750","351.500"
"Prentiss","03-October-2015 20:00","15.360","343.100","15.630","346.000"
