"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-April-2014 00:00","4.200","","",""
"Prentiss","01-April-2014 01:00","3.200","","",""
"Prentiss","01-April-2014 02:00","1.350","","",""
"Prentiss","01-April-2014 03:00","3.850","","",""
"Prentiss","01-April-2014 04:00","3.730","","",""
"Prentiss","01-April-2014 05:00","1.770","","",""
"Prentiss","01-April-2014 06:00","0.670","","",""
"Prentiss","01-April-2014 07:00","0.660","","",""
"Prentiss","01-April-2014 08:00","0.700","","",""
"Prentiss","01-April-2014 09:00","0.610","","",""
"Prentiss","01-April-2014 10:00","1.670","","",""
"Prentiss","01-April-2014 11:00","3.560","","",""
"Prentiss","01-April-2014 12:00","4.670","","",""
"Prentiss","01-April-2014 13:00","1.760","","",""
"Prentiss","01-April-2014 14:00","4.380","","",""
"Prentiss","01-April-2014 15:00","4.660","","",""
"Prentiss","01-April-2014 16:00","6.270","","",""
"Prentiss","01-April-2014 17:00","7.170","","",""
"Prentiss","01-April-2014 18:00","4.570","","",""
"Prentiss","01-April-2014 19:00","5.760","","",""
"Prentiss","01-April-2014 20:00","5.040","","",""
"Prentiss","01-April-2014 21:00","2.270","","",""
"Prentiss","01-April-2014 22:00","4.850","","",""
"Prentiss","01-April-2014 23:00","4.150","","",""
"Prentiss","02-April-2014 00:00","4.580","","",""
"Prentiss","02-April-2014 01:00","6.240","","",""
"Prentiss","02-April-2014 02:00","5.950","","",""
"Prentiss","02-April-2014 03:00","0.960","","",""
"Prentiss","02-April-2014 04:00","8.810","","",""
"Prentiss","02-April-2014 05:00","8.070","","",""
"Prentiss","02-April-2014 06:00","5.060","","",""
"Prentiss","02-April-2014 07:00","4.760","","",""
"Prentiss","02-April-2014 08:00","5.080","","",""
"Prentiss","02-April-2014 09:00","7.240","","",""
"Prentiss","02-April-2014 10:00","8.910","","",""
"Prentiss","02-April-2014 11:00","9.630","","",""
"Prentiss","02-April-2014 12:00","10.090","","",""
"Prentiss","02-April-2014 13:00","8.030","","",""
"Prentiss","02-April-2014 14:00","12.550","","",""
"Prentiss","02-April-2014 15:00","12.150","","",""
"Prentiss","02-April-2014 16:00","10.910","","",""
"Prentiss","02-April-2014 17:00","10.150","","",""
"Prentiss","02-April-2014 18:00","6.820","","",""
"Prentiss","02-April-2014 19:00","6.670","","",""
"Prentiss","02-April-2014 20:00","9.240","","",""
"Prentiss","02-April-2014 21:00","6.870","","",""
"Prentiss","02-April-2014 22:00","2.300","","",""
"Prentiss","02-April-2014 23:00","2.130","","",""
"Prentiss","03-April-2014 00:00","3.080","","",""
"Prentiss","03-April-2014 01:00","0.670","","",""
"Prentiss","03-April-2014 02:00","4.260","","",""
"Prentiss","03-April-2014 03:00","3.560","","",""
"Prentiss","03-April-2014 04:00","4.050","","",""
"Prentiss","03-April-2014 05:00","0.840","","",""
"Prentiss","03-April-2014 06:00","0.830","","",""
"Prentiss","03-April-2014 07:00","2.690","","",""
"Prentiss","03-April-2014 08:00","4.760","","",""
"Prentiss","03-April-2014 09:00","10.950","","",""
"Prentiss","03-April-2014 10:00","11.820","","",""
"Prentiss","03-April-2014 11:00","9.840","","",""
"Prentiss","03-April-2014 12:00","13.800","","",""
"Prentiss","03-April-2014 13:00","16.890","","",""
"Prentiss","03-April-2014 14:00","18.980","","",""
"Prentiss","03-April-2014 15:00","","","",""
"Prentiss","03-April-2014 16:00","","","",""
"Prentiss","03-April-2014 17:00","","","",""
"Prentiss","03-April-2014 18:00","","","",""
"Prentiss","03-April-2014 19:00","","","",""
"Prentiss","03-April-2014 20:00","","","",""
"Prentiss","03-April-2014 21:00","","","",""
"Prentiss","03-April-2014 22:00","","","",""
"Prentiss","03-April-2014 23:00","","","",""
"Prentiss","04-April-2014 00:00","","","",""
"Prentiss","04-April-2014 01:00","","","",""
"Prentiss","04-April-2014 02:00","","","",""
"Prentiss","04-April-2014 03:00","","","",""
"Prentiss","04-April-2014 04:00","","","",""
"Prentiss","04-April-2014 05:00","","","",""
"Prentiss","04-April-2014 06:00","7.380","","",""
"Prentiss","04-April-2014 07:00","2.120","","",""
"Prentiss","04-April-2014 08:00","4.660","","",""
"Prentiss","04-April-2014 09:00","8.300","","",""
"Prentiss","04-April-2014 10:00","18.610","","",""
"Prentiss","04-April-2014 11:00","16.370","","",""
"Prentiss","04-April-2014 12:00","13.520","","",""
"Prentiss","04-April-2014 13:00","7.560","","",""
"Prentiss","04-April-2014 14:00","4.010","","",""
"Prentiss","04-April-2014 15:00","9.100","","",""
"Prentiss","04-April-2014 16:00","11.590","","",""
"Prentiss","04-April-2014 17:00","8.160","","",""
"Prentiss","04-April-2014 18:00","7.140","","",""
"Prentiss","04-April-2014 19:00","3.920","","",""
"Prentiss","04-April-2014 20:00","1.790","","",""
"Prentiss","04-April-2014 21:00","4.230","","",""
"Prentiss","04-April-2014 22:00","3.220","","",""
"Prentiss","04-April-2014 23:00","11.970","","",""
"Prentiss","05-April-2014 00:00","4.510","","",""
"Prentiss","05-April-2014 01:00","2.850","","",""
"Prentiss","05-April-2014 02:00","5.630","","",""
"Prentiss","05-April-2014 03:00","4.550","","",""
"Prentiss","05-April-2014 04:00","3.440","","",""
"Prentiss","05-April-2014 05:00","2.750","","",""
"Prentiss","05-April-2014 06:00","2.910","","",""
"Prentiss","05-April-2014 07:00","2.990","","",""
"Prentiss","05-April-2014 08:00","2.610","","",""
