"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-August-2017 00:00","9.020","2.046","8.520","2.375"
"Prentiss","01-August-2017 01:00","11.210","220.900","8.190","288.500"
"Prentiss","01-August-2017 02:00","9.800","214.900","10.410","216.000"
"Prentiss","01-August-2017 03:00","12.410","230.700","9.950","236.500"
"Prentiss","01-August-2017 04:00","9.990","244.300","12.270","235.300"
"Prentiss","01-August-2017 05:00","5.929","280.100","7.705","256.300"
"Prentiss","01-August-2017 06:00","7.215","296.000","6.723","278.500"
"Prentiss","01-August-2017 07:00","3.151","251.900","5.311","270.100"
"Prentiss","01-August-2017 08:00","5.258","262.600","4.000","252.900"
"Prentiss","01-August-2017 09:00","5.815","297.600","5.644","286.200"
"Prentiss","01-August-2017 10:00","3.724","56.050","3.676","353.700"
"Prentiss","01-August-2017 11:00","3.305","188.900","4.211","18.400"
"Prentiss","01-August-2017 12:00","5.170","288.900","4.442","239.300"
"Prentiss","01-August-2017 13:00","3.361","348.500","4.772","294.900"
"Prentiss","01-August-2017 14:00","13.280","13.760","14.750","1.712"
"Prentiss","01-August-2017 15:00","16.200","34.330","20.290","22.360"
"Prentiss","01-August-2017 16:00","11.680","46.470","15.530","35.750"
"Prentiss","01-August-2017 17:00","6.931","47.310","9.420","47.940"
"Prentiss","01-August-2017 18:00","4.368","14.120","5.339","22.120"
"Prentiss","01-August-2017 19:00","7.627","341.000","4.582","359.700"
"Prentiss","01-August-2017 20:00","5.089","299.100","6.400","312.600"
"Prentiss","01-August-2017 21:00","5.066","284.000","5.608","287.700"
"Prentiss","01-August-2017 22:00","8.490","286.500","6.953","288.400"
"Prentiss","01-August-2017 23:00","5.005","278.700","6.474","286.400"
"Prentiss","02-August-2017 00:00","6.272","288.600","6.861","272.800"
"Prentiss","02-August-2017 01:00","10.440","285.900","9.450","284.100"
"Prentiss","02-August-2017 02:00","8.760","268.200","9.140","286.100"
"Prentiss","02-August-2017 03:00","9.230","268.400","9.370","270.100"
"Prentiss","02-August-2017 04:00","8.170","242.000","8.940","263.800"
"Prentiss","02-August-2017 05:00","8.220","260.900","7.908","252.300"
"Prentiss","02-August-2017 06:00","7.037","274.100","6.999","281.600"
"Prentiss","02-August-2017 07:00","4.539","260.100","6.362","273.100"
"Prentiss","02-August-2017 08:00","5.425","116.400","2.598","160.500"
"Prentiss","02-August-2017 09:00","7.507","183.400","6.759","151.600"
"Prentiss","02-August-2017 10:00","4.776","171.000","5.578","173.100"
"Prentiss","02-August-2017 11:00","4.905","163.300","4.575","191.700"
"Prentiss","02-August-2017 12:00","8.680","119.200","5.709","154.300"
"Prentiss","02-August-2017 13:00","7.742","237.100","7.834","99.800"
"Prentiss","02-August-2017 14:00","9.660","120.400","9.810","157.900"
"Prentiss","02-August-2017 15:00","5.096","86.500","7.623","123.300"
"Prentiss","02-August-2017 16:00","10.410","118.300","10.700","136.800"
