"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-February-2017 00:00","10.890","310.600","12.220","325.000"
"Prentiss","01-February-2017 01:00","17.710","321.000","13.980","316.200"
"Prentiss","01-February-2017 02:00","21.200","322.000","19.190","318.100"
"Prentiss","01-February-2017 03:00","20.320","319.800","21.880","322.200"
"Prentiss","01-February-2017 04:00","18.190","314.600","18.200","315.700"
"Prentiss","01-February-2017 05:00","15.760","308.800","16.390","309.900"
"Prentiss","01-February-2017 06:00","14.990","305.600","15.210","311.700"
"Prentiss","01-February-2017 07:00","16.720","306.300","16.050","309.900"
"Prentiss","01-February-2017 08:00","13.170","289.300","15.030","297.800"
"Prentiss","01-February-2017 09:00","13.980","296.700","13.660","291.100"
"Prentiss","01-February-2017 10:00","19.210","317.300","17.250","311.000"
"Prentiss","01-February-2017 11:00","21.580","327.200","19.730","322.500"
"Prentiss","01-February-2017 12:00","25.050","330.400","23.100","331.300"
"Prentiss","01-February-2017 13:00","19.760","321.400","22.060","329.700"
"Prentiss","01-February-2017 14:00","18.330","345.800","20.010","331.900"
"Prentiss","01-February-2017 15:00","19.810","334.300","18.930","336.800"
"Prentiss","01-February-2017 16:00","15.720","334.100","17.920","335.200"
"Prentiss","01-February-2017 17:00","12.300","324.900","14.150","334.000"
"Prentiss","01-February-2017 18:00","8.350","312.900","8.040","306.100"
"Prentiss","01-February-2017 19:00","9.110","284.300","10.020","312.800"
"Prentiss","01-February-2017 20:00","8.770","290.700","8.860","287.100"
"Prentiss","01-February-2017 21:00","8.140","299.500","8.330","298.000"
"Prentiss","01-February-2017 22:00","8.790","293.800","10.180","296.700"
"Prentiss","01-February-2017 23:00","9.050","277.600","8.850","281.700"
"Prentiss","02-February-2017 00:00","7.676","284.900","8.640","285.400"
"Prentiss","02-February-2017 01:00","7.488","298.000","7.849","290.300"
"Prentiss","02-February-2017 02:00","6.635","289.200","6.508","291.300"
"Prentiss","02-February-2017 03:00","7.085","285.600","7.522","285.800"
"Prentiss","02-February-2017 04:00","6.784","281.800","7.397","285.100"
"Prentiss","02-February-2017 05:00","8.040","295.700","8.160","299.500"
"Prentiss","02-February-2017 06:00","9.650","283.300","8.870","277.900"
"Prentiss","02-February-2017 07:00","11.530","271.300","10.250","275.100"
"Prentiss","02-February-2017 08:00","10.160","268.000","10.690","273.100"
"Prentiss","02-February-2017 09:00","13.650","279.300","12.890","271.800"
"Prentiss","02-February-2017 10:00","12.730","271.600","11.530","274.800"
"Prentiss","02-February-2017 11:00","13.030","280.100","14.780","280.200"
"Prentiss","02-February-2017 12:00","13.780","276.800","13.890","280.600"
"Prentiss","02-February-2017 13:00","12.840","280.400","13.120","282.300"
"Prentiss","02-February-2017 14:00","13.250","282.600","12.470","281.500"
"Prentiss","02-February-2017 15:00","10.820","282.600","11.560","280.800"
"Prentiss","02-February-2017 16:00","10.080","257.200","11.020","267.000"
"Prentiss","02-February-2017 17:00","9.360","230.300","8.610","240.300"
"Prentiss","02-February-2017 18:00","11.570","216.800","10.220","224.600"
"Prentiss","02-February-2017 19:00","11.440","215.600","12.050","214.600"
"Prentiss","02-February-2017 20:00","11.720","218.900","10.670","224.400"
"Prentiss","02-February-2017 21:00","11.510","213.500","11.760","213.700"
"Prentiss","02-February-2017 22:00","10.510","227.100","11.550","214.800"
