"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-October-2012 00:00","16.850","198.700","14.510","208.400"
"Prentiss","01-October-2012 01:00","14.650","187.500","14.880","192.600"
"Prentiss","01-October-2012 02:00","15.020","174.200","15.620","182.700"
"Prentiss","01-October-2012 03:00","9.330","195.800","8.770","179.700"
"Prentiss","01-October-2012 04:00","4.138","157.500","4.265","173.100"
"Prentiss","01-October-2012 05:00","3.849","207.500","5.340","222.400"
"Prentiss","01-October-2012 06:00","14.830","234.700","9.670","231.500"
"Prentiss","01-October-2012 07:00","12.840","241.300","11.020","232.200"
"Prentiss","01-October-2012 08:00","17.460","237.500","17.350","235.600"
"Prentiss","01-October-2012 09:00","15.920","230.400","16.470","236.000"
"Prentiss","01-October-2012 10:00","18.110","213.000","17.600","222.200"
"Prentiss","01-October-2012 11:00","24.060","225.900","21.700","221.400"
"Prentiss","01-October-2012 12:00","30.450","226.200","29.420","228.400"
"Prentiss","01-October-2012 13:00","32.460","223.800","33.050","224.500"
"Prentiss","01-October-2012 14:00","24.330","235.000","29.510","223.100"
"Prentiss","01-October-2012 15:00","23.800","230.600","27.390","229.300"
"Prentiss","01-October-2012 16:00","38.050","26.320","34.310","353.200"
"Prentiss","01-October-2012 17:00","40.810","28.300","42.940","28.440"
"Prentiss","01-October-2012 18:00","28.030","21.840","32.110","25.390"
"Prentiss","01-October-2012 19:00","23.390","16.330","25.600","19.420"
"Prentiss","01-October-2012 20:00","23.250","356.900","18.620","11.250"
"Prentiss","01-October-2012 21:00","10.960","288.400","21.810","321.900"
"Prentiss","01-October-2012 22:00","12.030","255.500","12.530","275.000"
"Prentiss","01-October-2012 23:00","12.310","272.000","11.410","266.400"
"Prentiss","02-October-2012 00:00","16.000","279.500","13.910","281.200"
"Prentiss","02-October-2012 01:00","12.390","292.400","13.730","284.900"
"Prentiss","02-October-2012 02:00","8.710","297.700","11.220","293.400"
"Prentiss","02-October-2012 03:00","17.270","309.300","15.390","304.300"
"Prentiss","02-October-2012 04:00","18.270","294.600","17.310","297.700"
"Prentiss","02-October-2012 05:00","23.020","309.300","19.670","300.700"
"Prentiss","02-October-2012 06:00","16.320","291.400","18.750","303.600"
"Prentiss","02-October-2012 07:00","21.650","307.700","19.060","302.100"
"Prentiss","02-October-2012 08:00","18.610","305.200","18.390","304.400"
"Prentiss","02-October-2012 09:00","25.410","322.700","22.030","318.200"
"Prentiss","02-October-2012 10:00","28.530","335.600","27.510","327.900"
"Prentiss","02-October-2012 11:00","25.620","354.300","25.980","342.500"
"Prentiss","02-October-2012 12:00","22.380","14.080","22.930","7.450"
"Prentiss","02-October-2012 13:00","21.960","32.620","19.450","25.310"
"Prentiss","02-October-2012 14:00","18.090","1.957","18.800","13.390"
"Prentiss","02-October-2012 15:00","21.160","354.200","20.790","354.500"
"Prentiss","02-October-2012 16:00","23.120","351.600","23.870","354.400"
"Prentiss","02-October-2012 17:00","27.830","344.700","20.860","342.000"
"Prentiss","02-October-2012 18:00","27.110","343.300","27.500","346.300"
"Prentiss","02-October-2012 19:00","24.510","340.300","25.400","337.500"
"Prentiss","02-October-2012 20:00","24.190","339.500","25.950","341.800"
"Prentiss","02-October-2012 21:00","25.160","352.600","25.130","349.200"
"Prentiss","02-October-2012 22:00","25.280","8.210","26.430","355.500"
"Prentiss","02-October-2012 23:00","21.320","5.002","21.520","6.681"
"Prentiss","03-October-2012 00:00","19.300","14.820","20.890","7.830"
"Prentiss","03-October-2012 01:00","20.590","359.600","20.010","5.360"
"Prentiss","03-October-2012 02:00","18.220","345.800","19.330","353.100"
"Prentiss","03-October-2012 03:00","16.610","341.700","18.330","343.800"
"Prentiss","03-October-2012 04:00","21.760","345.600","20.900","343.300"
"Prentiss","03-October-2012 05:00","16.440","342.500","19.280","345.000"
"Prentiss","03-October-2012 06:00","19.080","336.400","18.210","334.100"
"Prentiss","03-October-2012 07:00","13.170","317.200","15.460","329.200"
"Prentiss","03-October-2012 08:00","16.820","337.800","14.250","333.400"
"Prentiss","03-October-2012 09:00","18.170","327.400","17.910","333.500"
"Prentiss","03-October-2012 10:00","17.750","","18.090",""
"Prentiss","03-October-2012 11:00","17.330","339.900","18.280","337.400"
"Prentiss","03-October-2012 12:00","17.640","347.200","17.490","352.600"
"Prentiss","03-October-2012 13:00","15.260","351.200","15.290","337.400"
"Prentiss","03-October-2012 14:00","12.850","17.420","11.800","357.200"
"Prentiss","03-October-2012 15:00","11.550","319.700","13.700","340.100"
"Prentiss","03-October-2012 16:00","8.560","313.000","10.050","311.400"
"Prentiss","03-October-2012 17:00","6.938","10.050","6.761","322.900"
"Prentiss","03-October-2012 18:00","5.368","307.100","8.200","348.800"
"Prentiss","03-October-2012 19:00","10.560","286.700","9.820","293.200"
"Prentiss","03-October-2012 20:00","4.331","354.700","8.070","333.400"
"Prentiss","03-October-2012 21:00","0.783","354.400","2.295","354.600"
"Prentiss","03-October-2012 22:00","5.212","354.500","4.040","354.500"
"Prentiss","03-October-2012 23:00","9.570","354.400","7.900","354.200"
"Prentiss","04-October-2012 00:00","8.420","354.500","8.340","354.500"
"Prentiss","04-October-2012 01:00","10.090","343.600","9.490","348.000"
"Prentiss","04-October-2012 02:00","10.960","336.900","9.570","338.900"
"Prentiss","04-October-2012 03:00","10.560","336.400","11.300","337.500"
"Prentiss","04-October-2012 04:00","2.773","318.400","4.362","329.100"
"Prentiss","04-October-2012 05:00","3.400","149.700","2.498","154.500"
"Prentiss","04-October-2012 06:00","4.611","129.300","4.186","133.900"
"Prentiss","04-October-2012 07:00","1.923","147.400","4.251","151.200"
"Prentiss","04-October-2012 08:00","5.294","353.900","2.436","342.300"
"Prentiss","04-October-2012 09:00","6.061","354.100","4.276","354.100"
"Prentiss","04-October-2012 10:00","7.700","354.300","6.167","354.100"
"Prentiss","04-October-2012 11:00","11.760","354.500","11.550","354.400"
"Prentiss","04-October-2012 12:00","13.000","354.400","12.280","354.400"
"Prentiss","04-October-2012 13:00","11.340","354.500","12.560","354.400"
"Prentiss","04-October-2012 14:00","10.020","354.400","10.350","354.500"
"Prentiss","04-October-2012 15:00","4.052","354.600","10.180","354.500"
"Prentiss","04-October-2012 16:00","10.420","354.800","8.310","354.700"
"Prentiss","04-October-2012 17:00","9.840","355.000","11.560","354.900"
"Prentiss","04-October-2012 18:00","4.553","354.900","5.789","353.600"
"Prentiss","04-October-2012 19:00","11.010","351.300","9.670","353.000"
"Prentiss","04-October-2012 20:00","8.940","353.800","9.960","352.300"
"Prentiss","04-October-2012 21:00","9.190","353.800","8.930","353.800"
"Prentiss","04-October-2012 22:00","8.190","353.900","8.100","353.800"
"Prentiss","04-October-2012 23:00","5.276","353.700","5.414","353.700"
"Prentiss","05-October-2012 00:00","3.967","354.800","4.296","354.500"
"Prentiss","05-October-2012 01:00","2.987","345.900","3.570","350.600"
"Prentiss","05-October-2012 02:00","2.558","353.400","3.479","352.600"
"Prentiss","05-October-2012 03:00","4.769","330.200","4.659","341.900"
"Prentiss","05-October-2012 04:00","8.040","312.700","7.800","307.700"
"Prentiss","05-October-2012 05:00","10.350","317.200","9.250","313.400"
"Prentiss","05-October-2012 06:00","7.690","313.600","8.690","319.700"
"Prentiss","05-October-2012 07:00","5.478","331.400","6.947","319.300"
"Prentiss","05-October-2012 08:00","2.693","349.200","3.636","333.500"
"Prentiss","05-October-2012 09:00","0.657","204.600","0.939","14.920"
"Prentiss","05-October-2012 10:00","3.047","126.200","1.790","135.000"
"Prentiss","05-October-2012 11:00","2.526","177.100","4.424","180.100"
"Prentiss","05-October-2012 12:00","7.400","125.100","7.860","203.700"
"Prentiss","05-October-2012 13:00","8.450","239.700","8.930","222.600"
"Prentiss","05-October-2012 14:00","12.680","206.500","8.890","206.000"
"Prentiss","05-October-2012 15:00","14.530","216.100","12.480","205.900"
"Prentiss","05-October-2012 16:00","11.010","212.100","13.170","222.600"
"Prentiss","05-October-2012 17:00","11.570","206.000","12.980","207.000"
"Prentiss","05-October-2012 18:00","10.580","187.700","11.730","192.100"
"Prentiss","05-October-2012 19:00","12.680","191.600","11.010","191.100"
"Prentiss","05-October-2012 20:00","14.820","195.000","12.920","191.800"
"Prentiss","05-October-2012 21:00","19.610","200.900","17.550","203.100"
"Prentiss","05-October-2012 22:00","20.590","208.800","20.440","206.600"
"Prentiss","05-October-2012 23:00","23.000","208.400","22.280","207.700"
"Prentiss","06-October-2012 00:00","19.130","225.500","21.600","214.500"
"Prentiss","06-October-2012 01:00","21.520","232.700","19.390","229.600"
"Prentiss","06-October-2012 02:00","16.900","260.100","17.080","248.000"
"Prentiss","06-October-2012 03:00","14.780","274.700","15.920","272.300"
"Prentiss","06-October-2012 04:00","14.020","","14.670",""
"Prentiss","06-October-2012 05:00","13.260","276.400","13.420","276.400"
"Prentiss","06-October-2012 06:00","14.220","303.000","14.400","294.800"
"Prentiss","06-October-2012 07:00","16.380","312.800","15.170","314.300"
"Prentiss","06-October-2012 08:00","21.300","321.500","19.350","320.300"
"Prentiss","06-October-2012 09:00","28.270","332.600","26.940","326.500"
"Prentiss","06-October-2012 10:00","28.450","331.200","28.460","334.000"
"Prentiss","06-October-2012 11:00","29.650","343.900","27.290","340.600"
"Prentiss","06-October-2012 12:00","27.550","332.100","27.690","338.200"
"Prentiss","06-October-2012 13:00","21.460","329.600","23.510","341.600"
"Prentiss","06-October-2012 14:00","24.100","340.200","23.000","337.500"
"Prentiss","06-October-2012 15:00","22.570","341.000","24.020","337.200"
"Prentiss","06-October-2012 16:00","18.960","332.500","20.990","340.500"
"Prentiss","06-October-2012 17:00","13.500","335.900","17.550","335.800"
