"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-October-2013 00:00","14.330","267.700","13.300","277.800"
"Prentiss","01-October-2013 01:00","15.010","261.600","15.450","265.900"
"Prentiss","01-October-2013 02:00","14.190","267.500","14.340","260.600"
"Prentiss","01-October-2013 03:00","11.930","264.500","13.430","261.200"
"Prentiss","01-October-2013 04:00","14.940","257.400","14.850","254.400"
"Prentiss","01-October-2013 05:00","15.060","278.500","15.590","266.400"
"Prentiss","01-October-2013 06:00","14.140","281.000","14.690","279.900"
"Prentiss","01-October-2013 07:00","14.260","280.700","14.260","276.900"
"Prentiss","01-October-2013 08:00","12.360","280.400","13.320","279.600"
"Prentiss","01-October-2013 09:00","13.620","297.200","13.270","288.900"
"Prentiss","01-October-2013 10:00","18.280","311.100","14.520","299.700"
"Prentiss","01-October-2013 11:00","15.280","312.000","16.980","314.000"
"Prentiss","01-October-2013 12:00","19.710","308.000","17.810","308.500"
"Prentiss","01-October-2013 13:00","22.130","314.800","20.880","318.400"
"Prentiss","01-October-2013 14:00","21.130","308.800","20.900","312.400"
"Prentiss","01-October-2013 15:00","19.340","308.200","19.720","308.000"
"Prentiss","01-October-2013 16:00","21.570","304.200","20.600","305.800"
"Prentiss","01-October-2013 17:00","14.700","306.100","15.520","303.600"
"Prentiss","01-October-2013 18:00","12.930","280.800","11.550","309.600"
"Prentiss","01-October-2013 19:00","27.480","281.300","27.280","283.900"
"Prentiss","01-October-2013 20:00","16.680","288.200","19.670","280.800"
"Prentiss","01-October-2013 21:00","19.260","321.900","17.470","308.400"
"Prentiss","01-October-2013 22:00","12.570","315.000","13.590","319.800"
"Prentiss","01-October-2013 23:00","20.080","326.500","16.230","313.300"
"Prentiss","02-October-2013 00:00","19.880","305.100","17.670","308.800"
"Prentiss","02-October-2013 01:00","17.480","306.500","15.800","303.600"
"Prentiss","02-October-2013 02:00","14.770","303.700","15.660","303.700"
"Prentiss","02-October-2013 03:00","19.290","297.300","17.790","300.500"
"Prentiss","02-October-2013 04:00","19.120","305.500","18.100","303.500"
"Prentiss","02-October-2013 05:00","17.740","304.500","18.350","303.600"
"Prentiss","02-October-2013 06:00","17.740","307.700","18.430","308.700"
"Prentiss","02-October-2013 07:00","17.860","","18.230",""
"Prentiss","02-October-2013 08:00","17.990","317.800","18.030","315.300"
"Prentiss","02-October-2013 09:00","16.270","312.900","16.290","316.000"
"Prentiss","02-October-2013 10:00","18.310","319.100","17.890","315.800"
"Prentiss","02-October-2013 11:00","19.420","325.400","19.890","321.900"
"Prentiss","02-October-2013 12:00","16.000","327.200","18.360","325.800"
"Prentiss","02-October-2013 13:00","17.550","345.100","17.570","329.900"
"Prentiss","02-October-2013 14:00","18.700","331.800","18.040","335.700"
"Prentiss","02-October-2013 15:00","14.690","345.100","17.070","342.000"
"Prentiss","02-October-2013 16:00","18.910","339.800","17.000","340.400"
"Prentiss","02-October-2013 17:00","15.360","349.500","16.320","353.400"
"Prentiss","02-October-2013 18:00","10.290","348.500","12.990","347.900"
"Prentiss","02-October-2013 19:00","9.390","5.281","9.650","353.300"
