"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-June-2015 00:00","15.480","8.340","15.050","4.906"
"Prentiss","01-June-2015 01:00","11.060","14.060","13.890","11.770"
"Prentiss","01-June-2015 02:00","7.800","10.600","8.540","14.130"
"Prentiss","01-June-2015 03:00","3.097","29.300","4.600","26.280"
"Prentiss","01-June-2015 04:00","4.621","10.550","5.185","14.410"
"Prentiss","01-June-2015 05:00","6.958","270.400","5.986","309.700"
"Prentiss","01-June-2015 06:00","5.535","238.700","5.235","254.000"
"Prentiss","01-June-2015 07:00","12.010","223.000","10.240","226.500"
"Prentiss","01-June-2015 08:00","10.130","213.400","10.230","217.300"
"Prentiss","01-June-2015 09:00","11.740","200.200","11.510","213.400"
"Prentiss","01-June-2015 10:00","8.010","140.200","9.810","178.900"
"Prentiss","01-June-2015 11:00","8.480","238.800","8.410","198.100"
"Prentiss","01-June-2015 12:00","5.904","320.600","8.040","211.600"
"Prentiss","01-June-2015 13:00","9.240","296.300","9.560","273.500"
"Prentiss","01-June-2015 14:00","3.595","15.840","6.282","264.400"
"Prentiss","01-June-2015 15:00","27.900","18.900","25.200","18.900"
"Prentiss","01-June-2015 16:00","29.840","25.820","29.480","20.240"
"Prentiss","01-June-2015 17:00","29.050","53.650","30.110","41.620"
"Prentiss","01-June-2015 18:00","22.820","43.080","25.240","43.940"
"Prentiss","01-June-2015 19:00","24.130","51.180","25.260","45.590"
"Prentiss","01-June-2015 20:00","23.470","53.070","23.540","52.130"
"Prentiss","01-June-2015 21:00","16.260","72.600","18.660","58.380"
"Prentiss","01-June-2015 22:00","18.290","69.960","18.240","76.000"
"Prentiss","01-June-2015 23:00","25.400","69.380","23.610","68.210"
"Prentiss","02-June-2015 00:00","17.660","67.980","23.250","68.690"
"Prentiss","02-June-2015 01:00","8.560","58.270","12.730","74.800"
"Prentiss","02-June-2015 02:00","15.390","47.400","13.350","45.930"
"Prentiss","02-June-2015 03:00","17.530","83.300","15.880","66.110"
"Prentiss","02-June-2015 04:00","21.930","83.200","19.320","80.000"
"Prentiss","02-June-2015 05:00","17.480","83.600","18.560","84.500"
"Prentiss","02-June-2015 06:00","21.320","87.000","21.030","84.700"
"Prentiss","02-June-2015 07:00","20.200","91.500","20.850","90.300"
"Prentiss","02-June-2015 08:00","22.960","106.400","20.830","101.000"
"Prentiss","02-June-2015 09:00","19.490","105.500","19.650","107.000"
"Prentiss","02-June-2015 10:00","21.860","120.200","22.180","113.700"
"Prentiss","02-June-2015 11:00","20.130","138.800","21.220","126.200"
"Prentiss","02-June-2015 12:00","20.760","143.900","22.080","138.200"
"Prentiss","02-June-2015 13:00","20.420","156.300","19.890","159.200"
"Prentiss","02-June-2015 14:00","19.670","161.700","19.780","166.800"
"Prentiss","02-June-2015 15:00","15.570","149.800","17.290","154.300"
"Prentiss","02-June-2015 16:00","17.810","151.600","17.340","146.000"
"Prentiss","02-June-2015 17:00","26.060","182.500","24.770","180.900"
"Prentiss","02-June-2015 18:00","26.610","198.400","25.970","199.600"
"Prentiss","02-June-2015 19:00","25.710","189.800","25.000","192.700"
"Prentiss","02-June-2015 20:00","28.820","198.600","26.210","188.600"
"Prentiss","02-June-2015 21:00","25.980","200.600","25.050","197.500"
"Prentiss","02-June-2015 22:00","24.010","192.700","26.420","197.800"
"Prentiss","02-June-2015 23:00","24.660","199.800","24.850","198.100"
"Prentiss","03-June-2015 00:00","18.140","197.700","18.020","193.300"
"Prentiss","03-June-2015 01:00","18.510","200.900","18.600","196.800"
"Prentiss","03-June-2015 02:00","18.440","182.200","18.620","190.700"
"Prentiss","03-June-2015 03:00","14.130","171.800","15.210","177.700"
"Prentiss","03-June-2015 04:00","13.170","170.900","13.620","169.900"
"Prentiss","03-June-2015 05:00","14.000","169.100","13.960","172.200"
"Prentiss","03-June-2015 06:00","17.030","167.900","15.700","164.700"
"Prentiss","03-June-2015 07:00","18.260","158.800","17.280","166.900"
"Prentiss","03-June-2015 08:00","21.740","163.100","20.040","168.700"
"Prentiss","03-June-2015 09:00","23.240","154.400","21.410","162.200"
"Prentiss","03-June-2015 10:00","29.310","144.100","23.520","147.000"
"Prentiss","03-June-2015 11:00","24.450","140.300","25.190","139.800"
"Prentiss","03-June-2015 12:00","22.950","151.600","22.160","139.000"
"Prentiss","03-June-2015 13:00","25.890","137.000","23.830","139.600"
"Prentiss","03-June-2015 14:00","20.680","143.300","23.410","144.000"
"Prentiss","03-June-2015 15:00","21.490","128.100","22.450","140.800"
"Prentiss","03-June-2015 16:00","23.200","122.200","21.570","133.800"
"Prentiss","03-June-2015 17:00","20.410","","21.080",""
"Prentiss","03-June-2015 18:00","17.610","148.500","20.590","132.300"
"Prentiss","03-June-2015 19:00","23.400","139.900","20.890","140.500"
"Prentiss","03-June-2015 20:00","17.870","129.200","20.150","138.800"
"Prentiss","03-June-2015 21:00","13.550","117.300","15.260","126.500"
"Prentiss","03-June-2015 22:00","16.740","124.000","14.380","114.100"
"Prentiss","03-June-2015 23:00","13.300","165.000","16.510","145.400"
"Prentiss","04-June-2015 00:00","11.920","144.300","13.110","145.000"
"Prentiss","04-June-2015 01:00","8.530","155.400","10.280","153.700"
"Prentiss","04-June-2015 02:00","8.090","104.800","7.840","116.900"
"Prentiss","04-June-2015 03:00","2.631","42.330","7.000","113.100"
"Prentiss","04-June-2015 04:00","11.620","76.300","8.770","66.450"
"Prentiss","04-June-2015 05:00","9.530","99.800","10.470","93.200"
"Prentiss","04-June-2015 06:00","10.090","102.400","9.780","102.800"
"Prentiss","04-June-2015 07:00","11.240","118.400","10.470","109.600"
"Prentiss","04-June-2015 08:00","9.600","118.100","7.370","127.900"
"Prentiss","04-June-2015 09:00","9.520","129.900","9.920","135.400"
"Prentiss","04-June-2015 10:00","12.150","127.200","9.090","141.000"
"Prentiss","04-June-2015 11:00","7.170","134.600","7.880","127.900"
"Prentiss","04-June-2015 12:00","15.450","133.900","12.120","126.500"
"Prentiss","04-June-2015 13:00","23.010","119.800","21.270","115.400"
"Prentiss","04-June-2015 14:00","20.890","128.700","20.260","121.600"
"Prentiss","04-June-2015 15:00","44.010","112.500","32.110","114.000"
"Prentiss","04-June-2015 16:00","37.560","126.300","39.470","116.900"
"Prentiss","04-June-2015 17:00","29.920","142.600","32.440","138.000"
"Prentiss","04-June-2015 18:00","17.630","153.200","21.300","151.200"
"Prentiss","04-June-2015 19:00","2.547","104.700","11.070","152.900"
"Prentiss","04-June-2015 20:00","9.100","50.250","7.550","20.110"
"Prentiss","04-June-2015 21:00","7.960","96.300","7.060","70.900"
"Prentiss","04-June-2015 22:00","6.923","113.300","6.038","107.000"
"Prentiss","04-June-2015 23:00","9.110","116.900","7.970","116.000"
"Prentiss","05-June-2015 00:00","8.870","170.900","8.800","141.800"
"Prentiss","05-June-2015 01:00","8.220","197.400","7.730","182.100"
"Prentiss","05-June-2015 02:00","5.272","176.600","5.628","152.700"
"Prentiss","05-June-2015 03:00","4.790","263.100","3.303","217.900"
"Prentiss","05-June-2015 04:00","10.230","270.900","9.820","268.400"
"Prentiss","05-June-2015 05:00","9.560","262.600","10.410","254.000"
"Prentiss","05-June-2015 06:00","10.090","260.100","10.540","267.700"
"Prentiss","05-June-2015 07:00","12.000","289.200","10.720","275.200"
"Prentiss","05-June-2015 08:00","9.130","288.300","8.020","287.600"
"Prentiss","05-June-2015 09:00","10.300","284.700","9.760","284.500"
"Prentiss","05-June-2015 10:00","13.670","275.400","11.100","279.600"
"Prentiss","05-June-2015 11:00","12.120","285.900","12.050","286.500"
"Prentiss","05-June-2015 12:00","11.310","313.000","12.480","297.900"
"Prentiss","05-June-2015 13:00","12.830","290.600","14.840","316.000"
"Prentiss","05-June-2015 14:00","9.620","332.700","12.280","299.400"
"Prentiss","05-June-2015 15:00","12.420","319.700","13.510","346.300"
"Prentiss","05-June-2015 16:00","13.690","308.200","16.110","313.000"
"Prentiss","05-June-2015 17:00","11.290","335.600","11.140","317.600"
"Prentiss","05-June-2015 18:00","7.380","343.300","10.080","326.700"
"Prentiss","05-June-2015 19:00","13.730","330.900","10.290","331.500"
"Prentiss","05-June-2015 20:00","4.698","355.900","6.690","339.600"
"Prentiss","05-June-2015 21:00","3.204","265.200","3.220","313.800"
"Prentiss","05-June-2015 22:00","4.615","200.200","2.532","228.400"
"Prentiss","05-June-2015 23:00","5.541","203.500","6.198","202.600"
"Prentiss","06-June-2015 00:00","9.940","212.100","9.650","210.800"
"Prentiss","06-June-2015 01:00","12.860","220.500","12.180","219.300"
"Prentiss","06-June-2015 02:00","13.050","241.100","12.220","228.100"
"Prentiss","06-June-2015 03:00","13.460","238.600","13.450","236.100"
"Prentiss","06-June-2015 04:00","14.310","261.700","14.040","248.800"
"Prentiss","06-June-2015 05:00","12.650","285.100","13.960","280.400"
"Prentiss","06-June-2015 06:00","14.850","330.400","13.030","319.800"
"Prentiss","06-June-2015 07:00","14.070","346.000","15.490","347.800"
"Prentiss","06-June-2015 08:00","13.170","337.400","14.920","345.000"
"Prentiss","06-June-2015 09:00","14.500","345.600","14.500","341.800"
"Prentiss","06-June-2015 10:00","13.130","11.400","14.520","357.800"
"Prentiss","06-June-2015 11:00","14.690","337.500","13.700","342.700"
"Prentiss","06-June-2015 12:00","13.120","338.200","13.760","337.600"
"Prentiss","06-June-2015 13:00","9.830","289.800","9.280","307.300"
"Prentiss","06-June-2015 14:00","13.440","271.200","13.010","285.200"
"Prentiss","06-June-2015 15:00","13.640","282.200","12.860","295.900"
"Prentiss","06-June-2015 16:00","13.000","339.300","14.110","316.600"
"Prentiss","06-June-2015 17:00","9.940","331.200","11.210","320.500"
"Prentiss","06-June-2015 18:00","10.530","337.200","11.460","333.300"
"Prentiss","06-June-2015 19:00","10.450","348.800","9.140","316.100"
"Prentiss","06-June-2015 20:00","2.923","343.200","6.200","353.900"
"Prentiss","06-June-2015 21:00","3.386","12.590","1.688","1.956"
"Prentiss","06-June-2015 22:00","10.200","6.764","10.060","5.887"
"Prentiss","06-June-2015 23:00","8.220","9.360","9.900","10.210"
"Prentiss","07-June-2015 00:00","11.090","8.580","11.200","10.180"
"Prentiss","07-June-2015 01:00","13.860","3.485","13.050","5.392"
"Prentiss","07-June-2015 02:00","13.210","351.100","14.270","357.400"
"Prentiss","07-June-2015 03:00","16.610","348.900","15.000","347.200"
"Prentiss","07-June-2015 04:00","13.270","342.000","15.440","347.000"
"Prentiss","07-June-2015 05:00","10.890","325.600","11.620","329.200"
"Prentiss","07-June-2015 06:00","9.260","311.600","10.570","324.800"
