"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-April-2015 00:00","21.970","309.200","22.430","312.700"
"Prentiss","01-April-2015 01:00","19.620","297.700","18.930","308.000"
"Prentiss","01-April-2015 02:00","21.560","296.600","21.520","297.900"
"Prentiss","01-April-2015 03:00","27.740","299.000","25.520","300.700"
"Prentiss","01-April-2015 04:00","23.470","297.500","24.950","298.400"
"Prentiss","01-April-2015 05:00","30.460","303.600","27.340","304.200"
"Prentiss","01-April-2015 06:00","22.080","300.000","25.420","305.100"
"Prentiss","01-April-2015 07:00","35.890","307.400","34.080","309.400"
"Prentiss","01-April-2015 08:00","44.660","309.600","44.360","309.500"
"Prentiss","01-April-2015 09:00","45.490","315.600","48.420","313.200"
"Prentiss","01-April-2015 10:00","51.400","307.300","53.000","313.300"
"Prentiss","01-April-2015 11:00","49.520","312.000","50.980","313.200"
"Prentiss","01-April-2015 12:00","41.440","299.100","45.670","303.700"
"Prentiss","01-April-2015 13:00","43.380","312.000","45.390","304.600"
"Prentiss","01-April-2015 14:00","39.790","312.100","41.790","312.600"
"Prentiss","01-April-2015 15:00","49.380","315.900","45.990","316.200"
"Prentiss","01-April-2015 16:00","45.740","323.000","47.880","320.300"
"Prentiss","01-April-2015 17:00","44.860","332.000","46.160","330.000"
"Prentiss","01-April-2015 18:00","37.010","324.600","39.870","327.500"
"Prentiss","01-April-2015 19:00","38.410","333.000","35.330","329.200"
"Prentiss","01-April-2015 20:00","34.090","341.700","33.350","339.200"
"Prentiss","01-April-2015 21:00","27.060","339.800","30.950","340.900"
"Prentiss","01-April-2015 22:00","21.160","334.100","22.120","336.700"
"Prentiss","01-April-2015 23:00","16.600","320.300","17.620","329.700"
"Prentiss","02-April-2015 00:00","20.440","330.000","18.220","325.200"
"Prentiss","02-April-2015 01:00","15.060","314.500","17.210","320.900"
"Prentiss","02-April-2015 02:00","13.700","307.000","13.650","306.200"
"Prentiss","02-April-2015 03:00","11.340","297.500","12.890","302.300"
"Prentiss","02-April-2015 04:00","11.620","294.500","11.510","295.100"
"Prentiss","02-April-2015 05:00","9.840","281.600","10.600","287.100"
"Prentiss","02-April-2015 06:00","9.840","265.300","9.700","275.500"
"Prentiss","02-April-2015 07:00","9.980","251.200","8.910","250.400"
"Prentiss","02-April-2015 08:00","14.970","233.100","11.800","246.500"
"Prentiss","02-April-2015 09:00","11.370","277.800","13.290","266.300"
"Prentiss","02-April-2015 10:00","17.850","297.200","15.230","288.000"
"Prentiss","02-April-2015 11:00","17.790","306.700","17.800","302.800"
"Prentiss","02-April-2015 12:00","20.170","322.900","18.860","314.600"
"Prentiss","02-April-2015 13:00","26.290","316.100","20.070","315.800"
"Prentiss","02-April-2015 14:00","21.660","321.300","25.490","318.100"
"Prentiss","02-April-2015 15:00","14.420","2.805","17.440","319.100"
"Prentiss","02-April-2015 16:00","16.420","331.600","18.070","337.900"
"Prentiss","02-April-2015 17:00","11.350","272.300","11.800","286.900"
"Prentiss","02-April-2015 18:00","14.930","283.800","13.880","281.800"
