"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-February-2016 00:00","11.940","338.900","14.040","334.200"
"Prentiss","01-February-2016 01:00","6.663","320.000","7.780","320.100"
"Prentiss","01-February-2016 02:00","2.372","8.510","4.411","327.100"
"Prentiss","01-February-2016 03:00","2.926","32.060","2.717","18.810"
"Prentiss","01-February-2016 04:00","2.261","274.800","1.799","303.000"
"Prentiss","01-February-2016 05:00","6.525","304.600","4.509","305.200"
"Prentiss","01-February-2016 06:00","4.508","310.300","4.691","291.400"
"Prentiss","01-February-2016 07:00","3.256","126.800","2.322","72.300"
"Prentiss","01-February-2016 08:00","5.405","146.600","4.254","140.200"
"Prentiss","01-February-2016 09:00","4.630","136.200","4.544","129.600"
"Prentiss","01-February-2016 10:00","4.027","138.700","5.123","127.500"
"Prentiss","01-February-2016 11:00","11.630","189.800","7.940","180.400"
"Prentiss","01-February-2016 12:00","7.250","163.700","8.330","175.000"
"Prentiss","01-February-2016 13:00","12.610","140.200","9.460","154.900"
"Prentiss","01-February-2016 14:00","15.850","157.700","13.790","158.000"
"Prentiss","01-February-2016 15:00","17.050","141.300","14.890","152.100"
"Prentiss","01-February-2016 16:00","13.500","144.500","15.240","146.800"
"Prentiss","01-February-2016 17:00","9.820","171.000","12.020","171.500"
"Prentiss","01-February-2016 18:00","10.300","176.400","10.370","178.600"
"Prentiss","01-February-2016 19:00","10.880","164.200","9.730","160.300"
"Prentiss","01-February-2016 20:00","12.380","182.100","11.990","178.300"
"Prentiss","01-February-2016 21:00","8.530","209.100","9.350","199.900"
"Prentiss","01-February-2016 22:00","12.840","218.300","7.480","222.800"
"Prentiss","01-February-2016 23:00","16.920","230.400","12.910","236.000"
"Prentiss","02-February-2016 00:00","14.320","243.300","13.940","242.600"
"Prentiss","02-February-2016 01:00","14.340","238.800","13.260","250.900"
"Prentiss","02-February-2016 02:00","14.300","265.700","13.330","249.200"
"Prentiss","02-February-2016 03:00","13.060","272.000","14.250","263.400"
"Prentiss","02-February-2016 04:00","11.290","286.900","12.620","280.500"
"Prentiss","02-February-2016 05:00","9.690","287.700","10.970","287.500"
"Prentiss","02-February-2016 06:00","12.180","319.900","10.700","314.300"
"Prentiss","02-February-2016 07:00","9.720","288.200","8.980","293.200"
"Prentiss","02-February-2016 08:00","9.320","272.800","9.610","278.700"
"Prentiss","02-February-2016 09:00","11.440","268.300","9.680","277.700"
"Prentiss","02-February-2016 10:00","10.210","283.200","10.340","276.700"
"Prentiss","02-February-2016 11:00","9.660","281.400","9.500","280.700"
"Prentiss","02-February-2016 12:00","10.320","283.800","9.990","274.400"
"Prentiss","02-February-2016 13:00","9.470","280.900","9.620","282.800"
"Prentiss","02-February-2016 14:00","8.070","260.000","8.330","265.800"
"Prentiss","02-February-2016 15:00","11.470","240.600","9.310","250.700"
"Prentiss","02-February-2016 16:00","10.790","239.300","11.760","239.600"
"Prentiss","02-February-2016 17:00","9.030","223.400","10.190","237.200"
"Prentiss","02-February-2016 18:00","9.710","233.200","8.370","233.800"
"Prentiss","02-February-2016 19:00","12.920","223.000","10.090","237.800"
"Prentiss","02-February-2016 20:00","11.910","233.800","13.060","223.500"
"Prentiss","02-February-2016 21:00","16.130","216.900","13.340","224.400"
"Prentiss","02-February-2016 22:00","15.350","219.500","16.260","221.700"
"Prentiss","02-February-2016 23:00","9.400","274.800","13.310","236.700"
"Prentiss","03-February-2016 00:00","11.790","324.500","11.960","310.900"
"Prentiss","03-February-2016 01:00","9.800","305.500","9.790","306.200"
"Prentiss","03-February-2016 02:00","14.030","274.000","11.150","284.200"
"Prentiss","03-February-2016 03:00","13.460","272.000","12.830","270.900"
"Prentiss","03-February-2016 04:00","12.330","268.000","12.900","274.100"
"Prentiss","03-February-2016 05:00","12.050","265.200","11.990","272.600"
"Prentiss","03-February-2016 06:00","14.540","260.600","13.910","255.700"
"Prentiss","03-February-2016 07:00","13.310","255.700","13.800","255.800"
"Prentiss","03-February-2016 08:00","13.630","252.800","14.180","256.800"
"Prentiss","03-February-2016 09:00","15.160","256.000","14.900","254.300"
"Prentiss","03-February-2016 10:00","13.620","262.500","13.380","253.400"
"Prentiss","03-February-2016 11:00","14.390","251.300","14.010","254.800"
"Prentiss","03-February-2016 12:00","7.230","255.400","9.830","263.000"
"Prentiss","03-February-2016 13:00","12.020","231.100","10.860","236.100"
"Prentiss","03-February-2016 14:00","14.910","210.700","12.330","225.300"
"Prentiss","03-February-2016 15:00","15.770","212.200","14.740","212.600"
"Prentiss","03-February-2016 16:00","11.880","220.900","14.990","221.300"
"Prentiss","03-February-2016 17:00","11.300","231.100","11.570","235.600"
"Prentiss","03-February-2016 18:00","10.790","214.200","12.450","220.700"
"Prentiss","03-February-2016 19:00","12.250","198.900","11.320","206.200"
"Prentiss","03-February-2016 20:00","12.910","201.900","11.500","201.700"
"Prentiss","03-February-2016 21:00","11.150","201.900","12.980","206.800"
"Prentiss","03-February-2016 22:00","5.105","146.200","8.520","190.900"
"Prentiss","03-February-2016 23:00","4.755","172.700","4.766","170.200"
"Prentiss","04-February-2016 00:00","2.244","91.200","3.617","132.400"
"Prentiss","04-February-2016 01:00","2.388","88.000","2.051","84.300"
"Prentiss","04-February-2016 02:00","6.119","97.000","5.807","96.700"
"Prentiss","04-February-2016 03:00","9.420","110.500","8.380","117.300"
"Prentiss","04-February-2016 04:00","8.430","130.500","6.736","136.300"
"Prentiss","04-February-2016 05:00","9.550","104.900","11.460","112.800"
"Prentiss","04-February-2016 06:00","7.900","106.800","6.363","118.100"
"Prentiss","04-February-2016 07:00","8.640","114.700","7.760","110.800"
"Prentiss","04-February-2016 08:00","6.505","105.900","8.020","106.300"
"Prentiss","04-February-2016 09:00","4.098","7.520","4.757","88.100"
"Prentiss","04-February-2016 10:00","6.638","126.000","5.152","107.700"
"Prentiss","04-February-2016 11:00","7.370","252.400","6.064","263.000"
"Prentiss","04-February-2016 12:00","6.867","332.900","5.536","307.600"
"Prentiss","04-February-2016 13:00","5.561","250.800","3.703","241.000"
"Prentiss","04-February-2016 14:00","5.429","265.400","3.913","261.800"
"Prentiss","04-February-2016 15:00","10.750","246.300","9.130","259.400"
"Prentiss","04-February-2016 16:00","14.320","247.700","12.910","248.700"
"Prentiss","04-February-2016 17:00","13.210","237.400","13.260","235.900"
"Prentiss","04-February-2016 18:00","17.590","222.700","17.100","226.600"
"Prentiss","04-February-2016 19:00","21.280","222.300","20.710","225.500"
"Prentiss","04-February-2016 20:00","16.620","222.900","19.740","223.300"
"Prentiss","04-February-2016 21:00","26.670","224.000","24.450","227.500"
"Prentiss","04-February-2016 22:00","16.340","241.900","21.840","229.600"
