"Station Name","Date (Local Standard Time)","Wind Speed 10 m Inst. (km/h)","Wind Dir. 10 m Inst. (°)","Wind Speed 10 m Ave. (km/h)","Wind Dir. 10 m Ave. (°)"
"Prentiss","01-June-2014 00:00","14.080","233.700","14.350","229.000"
"Prentiss","01-June-2014 01:00","14.950","244.900","15.330","240.900"
"Prentiss","01-June-2014 02:00","13.420","263.000","12.470","264.800"
"Prentiss","01-June-2014 03:00","5.204","125.300","8.170","183.000"
"Prentiss","01-June-2014 04:00","5.662","89.300","5.949","127.200"
"Prentiss","01-June-2014 05:00","7.440","82.500","8.070","63.250"
"Prentiss","01-June-2014 06:00","4.214","76.200","5.184","102.500"
"Prentiss","01-June-2014 07:00","7.460","126.400","8.790","116.000"
"Prentiss","01-June-2014 08:00","15.450","145.000","9.640","145.400"
"Prentiss","01-June-2014 09:00","13.610","157.400","12.800","144.500"
"Prentiss","01-June-2014 10:00","8.820","164.800","9.960","175.700"
"Prentiss","01-June-2014 11:00","12.040","141.800","10.280","150.200"
"Prentiss","01-June-2014 12:00","10.740","153.900","8.220","145.900"
"Prentiss","01-June-2014 13:00","7.090","179.600","7.660","151.100"
"Prentiss","01-June-2014 14:00","5.127","107.700","6.229","117.900"
"Prentiss","01-June-2014 15:00","4.804","113.900","5.498","102.300"
"Prentiss","01-June-2014 16:00","10.170","155.600","9.380","150.100"
"Prentiss","01-June-2014 17:00","17.840","242.100","23.980","137.000"
"Prentiss","01-June-2014 18:00","16.380","31.590","18.050","334.000"
"Prentiss","01-June-2014 19:00","18.710","53.100","21.000","38.090"
"Prentiss","01-June-2014 20:00","14.990","24.550","15.120","33.340"
"Prentiss","01-June-2014 21:00","11.810","349.100","11.680","3.833"
"Prentiss","01-June-2014 22:00","11.280","308.400","8.290","324.700"
"Prentiss","01-June-2014 23:00","10.160","279.400","10.430","275.100"
"Prentiss","02-June-2014 00:00","10.950","235.600","10.690","265.700"
"Prentiss","02-June-2014 01:00","8.580","211.700","9.160","257.700"
"Prentiss","02-June-2014 02:00","8.550","217.400","6.433","158.700"
"Prentiss","02-June-2014 03:00","12.910","240.700","10.240","244.200"
"Prentiss","02-June-2014 04:00","9.500","259.000","11.850","259.100"
"Prentiss","02-June-2014 05:00","10.510","278.500","11.630","275.000"
"Prentiss","02-June-2014 06:00","9.800","278.100","12.220","267.400"
